,selection_method,benchmark,dimensions,error
108,E-TS,Ackley,2,0.14262610251206853
114,E-TS,Cigar,2,0.12693829965572584
120,E-TS,Ellipse,2,0.18645716807795643
126,E-TS,Griewank,2,0.009201105332102832
132,E-TS,Rastrigrin,2,0.9950295792811232
138,E-TS,Rosenbrock,2,8.272108665976481e-05
144,E-TS,Schwefel,2,118.44201661505394
150,E-TS,Sphere,2,0.0013076845844625902
156,E-TS,Tablet,2,0.07768545463190557
270,TS +R,Ackley,2,0.1946359069123571
276,TS +R,Cigar,2,0.2481272378164613
282,TS +R,Ellipse,2,0.24161415584281312
288,TS +R,Griewank,2,0.00956194598339366
294,TS +R,Rastrigrin,2,0.004669222691482844
300,TS +R,Rosenbrock,2,0.0001293223201929933
306,TS +R,Schwefel,2,118.43943386504009
312,TS +R,Sphere,2,0.0018261011221205315
318,TS +R,Tablet,2,0.2795240657663378
324,TS -R,Ackley,2,0.16198357816786002
330,TS -R,Cigar,2,0.314242743837962
336,TS -R,Ellipse,2,0.33949858481101036
342,TS -R,Griewank,2,0.009270959215113339
348,TS -R,Rastrigrin,2,0.009406680622369379
354,TS -R,Rosenbrock,2,0.00013693593518491302
360,TS -R,Schwefel,2,0.016701606174706285
366,TS -R,Sphere,2,0.0020556510687267503
372,TS -R,Tablet,2,0.3541012120850337
378,seminal,Ackley,2,0.8296233413087362
384,seminal,Cigar,2,0.6132559643469961
390,seminal,Ellipse,2,0.4488552298233165
396,seminal,Griewank,2,0.023784659447252388
402,seminal,Rastrigrin,2,0.004412688255754915
408,seminal,Rosenbrock,2,0.00042204322570385137
414,seminal,Schwefel,2,0.042127360317294915
420,seminal,Sphere,2,0.011267103828028771
426,seminal,Tablet,2,0.6066553816812449
